STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG
ANDAMAN And NICOBAR ISLANDS,NICOBAR,107.3,57.9,65.2,117,358.5,295.5,285,271.9
ANDAMAN And NICOBAR ISLANDS,SOUTH ANDAMAN,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1
ANDAMAN And NICOBAR ISLANDS,N & M ANDAMAN,32.7,15.9,8.6,53.4,343.6,503.3,465.4,460.9
ARUNACHAL PRADESH,LOHIT,42.2,80.8,176.4,358.5,306.4,447,660.1,427.8
ARUNACHAL PRADESH,EAST SIANG,33.3,79.5,105.9,216.5,323,738.3,990.9,711.2
ARUNACHAL PRADESH,SUBANSIRI F.D,28,48.3,85.3,101.5,140.5,228.4,217.4,182.8
ARUNACHAL PRADESH,TIRAP,42.2,72.7,141,316.9,328.7,614.7,851.9,500.6
ARUNACHAL PRADESH,ANJAW (LOHIT),42.2,80.8,176.4,358.5,306.4,447,660.1,427.8
ARUNACHAL PRADESH,LOWER DIBANG,83.7,153.9,303.5,383.6,268,374.2,272,160.5
ARUNACHAL PRADESH,CHANGLANG,70.3,170.9,367.9,554.4,334.2,526.2,460.8,291.5
ARUNACHAL PRADESH,PAPUM PARE,33.5,67.8,106.1,226.9,453,640.5,609.5,503.4
ARUNACHAL PRADESH,LOW SUBANSIRI,97.5,109.3,92.4,204.3,266.2,284.1,248.9,270.5
ARUNACHAL PRADESH,UPPER SIANG,74.3,176.7,362.6,397.5,408.7,801.9,653,417.9
ARUNACHAL PRADESH,WEST SIANG,26,66.7,76.8,229.2,239.5,416.6,592.4,312.4
ARUNACHAL PRADESH,DIBANG VALLEY,83.7,153.9,303.5,383.6,268,374.2,272,160.5
ARUNACHAL PRADESH,WEST KAMENG,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1
ARUNACHAL PRADESH,EAST KAMENG,49,74.4,96.5,156.9,208,345.7,368.5,256.2
ARUNACHAL PRADESH,TAWANG(W KAME,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1
ARUNACHAL PRADESH,KURUNG KUMEY,82.7,70,128.2,245.7,271.4,292.7,404,276.3
ASSAM,CACHAR,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8
ASSAM,DARRANG,13.1,21.4,53.5,168.8,320,419.7,345.8,272.1
ASSAM,GOALPARA,12.7,20.4,51.1,196.6,399.8,567.8,502.8,334.6
ASSAM,KAMRUP,12,20.8,58.6,151.7,293.4,365.5,345.1,248.7
ASSAM,LAKHIMPUR,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6
ASSAM,NORTH CACHAR,16.7,47.5,158.9,207.9,308,328.1,270.3,201.3
ASSAM,NAGAON,12,22.5,48.1,128.9,171.3,285.9,326.3,294.1
ASSAM,SIVASAGAR,20.1,33.2,78.3,126.5,257.1,255.5,374.8,342.3
ASSAM,BARPETA,10.3,26.9,54,175.7,391.5,694.3,757.3,527.3
ASSAM,DHUBRI,10.3,11.7,46.6,147.5,391.6,603,554.7,418.7
ASSAM,DIBRUGARH,30.6,53.1,119.8,229.9,292.4,401,519.4,405.1
ASSAM,JORHAT,22.2,36.7,80.1,204.6,277.4,288.8,390.7,346.9
ASSAM,KARIMGANJ,13.2,35.2,169.7,340.4,604,645.2,646,438
ASSAM,KOKRAJHAR,10.9,27.9,45.8,216.4,461.1,822.2,864.2,677.1
ASSAM,SHONITPUR,19.4,23.1,50,144.3,284.1,363.1,384.2,337.9
ASSAM,GOLAGHAT,16.9,29.5,65.2,135.9,245.6,254.2,314.7,271.4
ASSAM,TINSUKIA,26.6,58.4,131.2,215.9,272.7,388.3,515.3,387.2
ASSAM,HAILAKANDI,7.3,42,123.8,239,416.2,470.4,426.8,406.9
ASSAM,DHEMAJI(LAKHI,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6
ASSAM,KARBI ANGLONG,12.8,24.1,53.8,106.3,139.4,224.9,238.7,220.5
ASSAM,UDALGURI(DARA,13.1,21.4,53.5,168.8,320,419.7,345.8,272.1
ASSAM,KAMRUP METROP,12,20.8,58.6,151.7,293.4,365.5,345.1,248.7
ASSAM,CHIRANG(BONGAI,10,31.2,57.5,183.4,442,626.3,776.6,486.8
